Number_Of_Primes,Pi_Pico_W,Pi_Pico,Pi_Pico_W_2,Pi_Pico_2,Arduino_Nano,Arduino_Uno,Arduino_Mega
5000,34.86,34.83,,,,,
10000,50.13,50.11,,,,,
15000,62.03,62.00,,,,,
20000,72.11,72.09,,,,,
25000,81.07,81.02,,,,,
30000,89.14,89.09,,,,,
35000,96.68,96.66,,,,,
40000,103.66,103.63,,,,,
45000,110.23,110.21,,,,,
50000,116.45,116.42,,,,,
55000,122.44,122.41,,,,,
60000,128.14,128.01,,,,,
65000,133.56,133.53,,,,,
70000,138.80,138.77,,,,,
75000,143.95,143.87,,,,,
80000,148.85,148.82,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
